ISO3,Country,Dataset,Source,Type,Access,TemporalStart,TemporalEnd,Frequency,Coverage
KIR,Kiribati,WDPA (Protected Planet),UNEP-WCMC & IUCN,Vector protected areas,Registration,2005,Present,Monthly,Available
KIR,Kiribati,WorldPop/GHS-POP,WorldPop / JRC (GHS-POP),Raster population density,Open,2000,Present,1–5 years,Available
KIR,Kiribati,FEMA NFHL,FEMA,Vector flood hazard zones,Open,2003,Present,Rolling,N/A
KIR,Kiribati,USGS NHD,USGS,Vector hydrography,Open,2000,Present,Rolling,N/A
KIR,Kiribati,NPMS,PHMSA,Vector pipelines,Restricted,2002,Present,Annual/Rolling,N/A
KIR,Kiribati,LiDAR DEM 1m,National/Provincial/State programs,Raster DEM (1m),Open/Restricted,2000,Present,Project-based,Varies
PRK,"Korea, Democratic People's Republic of",Sentinel-2 L2A,ESA via Microsoft Planetary Computer Earth Search,"Raster multispectral (13 bands, 10/20/60m)",Open,2015-06,Present,~5 days,Available
PRK,"Korea, Democratic People's Republic of",ESA WorldCover 10m,ESA (AWS S3),Raster land cover (10m),Open,2020,2021,Annual,Available
PRK,"Korea, Democratic People's Republic of",Copernicus DEM,Copernicus,Raster DEM (30m/90m),Registration,2020,Present,Irregular,Available
PRK,"Korea, Democratic People's Republic of",Global Surface Water (GSW),JRC/Google,Raster water occurrence/seasonality,Open,1984,Present,Annual,Available
PRK,"Korea, Democratic People's Republic of",OpenStreetMap,OpenStreetMap,Vector roads/railways/waterways/landuse/buildings,Open,2004,Present,Continuous,Available
PRK,"Korea, Democratic People's Republic of",WDPA (Protected Planet),UNEP-WCMC & IUCN,Vector protected areas,Registration,2005,Present,Monthly,Available
PRK,"Korea, Democratic People's Republic of",WorldPop/GHS-POP,WorldPop / JRC (GHS-POP),Raster population density,Open,2000,Present,1–5 years,Available
PRK,"Korea, Democratic People's Republic of",FEMA NFHL,FEMA,Vector flood hazard zones,Open,2003,Present,Rolling,N/A
PRK,"Korea, Democratic People's Republic of",USGS NHD,USGS,Vector hydrography,Open,2000,Present,Rolling,N/A
PRK,"Korea, Democratic People's Republic of",NPMS,PHMSA,Vector pipelines,Restricted,2002,Present,Annual/Rolling,N/A
PRK,"Korea, Democratic People's Republic of",LiDAR DEM 1m,National/Provincial/State programs,Raster DEM (1m),Open/Restricted,2000,Present,Project-based,Varies
KOR,"Korea, Republic of",Sentinel-2 L2A,ESA via Microsoft Planetary Computer Earth Search,"Raster multispectral (13 bands, 10/20/60m)",Open,2015-06,Present,~5 days,Available
KOR,"Korea, Republic of",ESA WorldCover 10m,ESA (AWS S3),Raster land cover (10m),Open,2020,2021,Annual,Available
KOR,"Korea, Republic of",Copernicus DEM,Copernicus,Raster DEM (30m/90m),Registration,2020,Present,Irregular,Available
KOR,"Korea, Republic of",Global Surface Water (GSW),JRC/Google,Raster water occurrence/seasonality,Open,1984,Present,Annual,Available
KOR,"Korea, Republic of",OpenStreetMap,OpenStreetMap,Vector roads/railways/waterways/landuse/buildings,Open,2004,Present,Continuous,Available
KOR,"Korea, Republic of",WDPA (Protected Planet),UNEP-WCMC & IUCN,Vector protected areas,Registration,2005,Present,Monthly,Available
KOR,"Korea, Republic of",WorldPop/GHS-POP,WorldPop / JRC (GHS-POP),Raster population density,Open,2000,Present,1–5 years,Available
KOR,"Korea, Republic of",FEMA NFHL,FEMA,Vector flood hazard zones,Open,2003,Present,Rolling,N/A
KOR,"Korea, Republic of",USGS NHD,USGS,Vector hydrography,Open,2000,Present,Rolling,N/A
KOR,"Korea, Republic of",NPMS,PHMSA,Vector pipelines,Restricted,2002,Present,Annual/Rolling,N/A
KOR,"Korea, Republic of",LiDAR DEM 1m,National/Provincial/State programs,Raster DEM (1m),Open/Restricted,2000,Present,Project-based,Varies
KWT,Kuwait,Sentinel-2 L2A,ESA via Microsoft Planetary Computer Earth Search,"Raster multispectral (13 bands, 10/20/60m)",Open,2015-06,Present,~5 days,Available
KWT,Kuwait,ESA WorldCover 10m,ESA (AWS S3),Raster land cover (10m),Open,2020,2021,Annual,Available
KWT,Kuwait,Copernicus DEM,Copernicus,Raster DEM (30m/90m),Registration,2020,Present,Irregular,Available
KWT,Kuwait,Global Surface Water (GSW),JRC/Google,Raster water occurrence/seasonality,Open,1984,Present,Annual,Available
KWT,Kuwait,OpenStreetMap,OpenStreetMap,Vector roads/railways/waterways/landuse/buildings,Open,2004,Present,Continuous,Available
KWT,Kuwait,WDPA (Protected Planet),UNEP-WCMC & IUCN,Vector protected areas,Registration,2005,Present,Monthly,Available
KWT,Kuwait,WorldPop/GHS-POP,WorldPop / JRC (GHS-POP),Raster population density,Open,2000,Present,1–5 years,Available
KWT,Kuwait,FEMA NFHL,FEMA,Vector flood hazard zones,Open,2003,Present,Rolling,N/A
KWT,Kuwait,USGS NHD,USGS,Vector hydrography,Open,2000,Present,Rolling,N/A
KWT,Kuwait,NPMS,PHMSA,Vector pipelines,Restricted,2002,Present,Annual/Rolling,N/A
KWT,Kuwait,LiDAR DEM 1m,National/Provincial/State programs,Raster DEM (1m),Open/Restricted,2000,Present,Project-based,Varies
KGZ,Kyrgyzstan,Sentinel-2 L2A,ESA via Microsoft Planetary Computer Earth Search,"Raster multispectral (13 bands, 10/20/60m)",Open,2015-06,Present,~5 days,Available
KGZ,Kyrgyzstan,ESA WorldCover 10m,ESA (AWS S3),Raster land cover (10m),Open,2020,2021,Annual,Available
KGZ,Kyrgyzstan,Copernicus DEM,Copernicus,Raster DEM (30m/90m),Registration,2020,Present,Irregular,Available
KGZ,Kyrgyzstan,Global Surface Water (GSW),JRC/Google,Raster water occurrence/seasonality,Open,1984,Present,Annual,Available
KGZ,Kyrgyzstan,OpenStreetMap,OpenStreetMap,Vector roads/railways/waterways/landuse/buildings,Open,2004,Present,Continuous,Available
KGZ,Kyrgyzstan,WDPA (Protected Planet),UNEP-WCMC & IUCN,Vector protected areas,Registration,2005,Present,Monthly,Available
KGZ,Kyrgyzstan,WorldPop/GHS-POP,WorldPop / JRC (GHS-POP),Raster population density,Open,2000,Present,1–5 years,Available
KGZ,Kyrgyzstan,FEMA NFHL,FEMA,Vector flood hazard zones,Open,2003,Present,Rolling,N/A
KGZ,Kyrgyzstan,USGS NHD,USGS,Vector hydrography,Open,2000,Present,Rolling,N/A
KGZ,Kyrgyzstan,NPMS,PHMSA,Vector pipelines,Restricted,2002,Present,Annual/Rolling,N/A
KGZ,Kyrgyzstan,LiDAR DEM 1m,National/Provincial/State programs,Raster DEM (1m),Open/Restricted,2000,Present,Project-based,Varies
LAO,Lao People's Democratic Republic,Sentinel-2 L2A,ESA via Microsoft Planetary Computer Earth Search,"Raster multispectral (13 bands, 10/20/60m)",Open,2015-06,Present,~5 days,Available
LAO,Lao People's Democratic Republic,ESA WorldCover 10m,ESA (AWS S3),Raster land cover (10m),Open,2020,2021,Annual,Available
LAO,Lao People's Democratic Republic,Copernicus DEM,Copernicus,Raster DEM (30m/90m),Registration,2020,Present,Irregular,Available
LAO,Lao People's Democratic Republic,Global Surface Water (GSW),JRC/Google,Raster water occurrence/seasonality,Open,1984,Present,Annual,Available
LAO,Lao People's Democratic Republic,OpenStreetMap,OpenStreetMap,Vector roads/railways/waterways/landuse/buildings,Open,2004,Present,Continuous,Available
LAO,Lao People's Democratic Republic,WDPA (Protected Planet),UNEP-WCMC & IUCN,Vector protected areas,Registration,2005,Present,Monthly,Available
LAO,Lao People's Democratic Republic,WorldPop/GHS-POP,WorldPop / JRC (GHS-POP),Raster population density,Open,2000,Present,1–5 years,Available
LAO,Lao People's Democratic Republic,FEMA NFHL,FEMA,Vector flood hazard zones,Open,2003,Present,Rolling,N/A
LAO,Lao People's Democratic Republic,USGS NHD,USGS,Vector hydrography,Open,2000,Present,Rolling,N/A
LAO,Lao People's Democratic Republic,NPMS,PHMSA,Vector pipelines,Restricted,2002,Present,Annual/Rolling,N/A
LAO,Lao People's Democratic Republic,LiDAR DEM 1m,National/Provincial/State programs,Raster DEM (1m),Open/Restricted,2000,Present,Project-based,Varies
LVA,Latvia,Sentinel-2 L2A,ESA via Microsoft Planetary Computer Earth Search,"Raster multispectral (13 bands, 10/20/60m)",Open,2015-06,Present,~5 days,Available
LVA,Latvia,ESA WorldCover 10m,ESA (AWS S3),Raster land cover (10m),Open,2020,2021,Annual,Available
LVA,Latvia,Copernicus DEM,Copernicus,Raster DEM (30m/90m),Registration,2020,Present,Irregular,Available
LVA,Latvia,Global Surface Water (GSW),JRC/Google,Raster water occurrence/seasonality,Open,1984,Present,Annual,Available
LVA,Latvia,OpenStreetMap,OpenStreetMap,Vector roads/railways/waterways/landuse/buildings,Open,2004,Present,Continuous,Available
LVA,Latvia,WDPA (Protected Planet),UNEP-WCMC & IUCN,Vector protected areas,Registration,2005,Present,Monthly,Available
LVA,Latvia,WorldPop/GHS-POP,WorldPop / JRC (GHS-POP),Raster population density,Open,2000,Present,1–5 years,Available
LVA,Latvia,FEMA NFHL,FEMA,Vector flood hazard zones,Open,2003,Present,Rolling,N/A
LVA,Latvia,USGS NHD,USGS,Vector hydrography,Open,2000,Present,Rolling,N/A
LVA,Latvia,NPMS,PHMSA,Vector pipelines,Restricted,2002,Present,Annual/Rolling,N/A
LVA,Latvia,LiDAR DEM 1m,National/Provincial/State programs,Raster DEM (1m),Open/Restricted,2000,Present,Project-based,Varies
LBN,Lebanon,Sentinel-2 L2A,ESA via Microsoft Planetary Computer Earth Search,"Raster multispectral (13 bands, 10/20/60m)",Open,2015-06,Present,~5 days,Available
LBN,Lebanon,ESA WorldCover 10m,ESA (AWS S3),Raster land cover (10m),Open,2020,2021,Annual,Available
LBN,Lebanon,Copernicus DEM,Copernicus,Raster DEM (30m/90m),Registration,2020,Present,Irregular,Available
LBN,Lebanon,Global Surface Water (GSW),JRC/Google,Raster water occurrence/seasonality,Open,1984,Present,Annual,Available
LBN,Lebanon,OpenStreetMap,OpenStreetMap,Vector roads/railways/waterways/landuse/buildings,Open,2004,Present,Continuous,Available
LBN,Lebanon,WDPA (Protected Planet),UNEP-WCMC & IUCN,Vector protected areas,Registration,2005,Present,Monthly,Available
LBN,Lebanon,WorldPop/GHS-POP,WorldPop / JRC (GHS-POP),Raster population density,Open,2000,Present,1–5 years,Available
LBN,Lebanon,FEMA NFHL,FEMA,Vector flood hazard zones,Open,2003,Present,Rolling,N/A
LBN,Lebanon,USGS NHD,USGS,Vector hydrography,Open,2000,Present,Rolling,N/A
LBN,Lebanon,NPMS,PHMSA,Vector pipelines,Restricted,2002,Present,Annual/Rolling,N/A
LBN,Lebanon,LiDAR DEM 1m,National/Provincial/State programs,Raster DEM (1m),Open/Restricted,2000,Present,Project-based,Varies
LSO,Lesotho,Sentinel-2 L2A,ESA via Microsoft Planetary Computer Earth Search,"Raster multispectral (13 bands, 10/20/60m)",Open,2015-06,Present,~5 days,Available
LSO,Lesotho,ESA WorldCover 10m,ESA (AWS S3),Raster land cover (10m),Open,2020,2021,Annual,Available
LSO,Lesotho,Copernicus DEM,Copernicus,Raster DEM (30m/90m),Registration,2020,Present,Irregular,Available
LSO,Lesotho,Global Surface Water (GSW),JRC/Google,Raster water occurrence/seasonality,Open,1984,Present,Annual,Available
LSO,Lesotho,OpenStreetMap,OpenStreetMap,Vector roads/railways/waterways/landuse/buildings,Open,2004,Present,Continuous,Available
LSO,Lesotho,WDPA (Protected Planet),UNEP-WCMC & IUCN,Vector protected areas,Registration,2005,Present,Monthly,Available
LSO,Lesotho,WorldPop/GHS-POP,WorldPop / JRC (GHS-POP),Raster population density,Open,2000,Present,1–5 years,Available
LSO,Lesotho,FEMA NFHL,FEMA,Vector flood hazard zones,Open,2003,Present,Rolling,N/A
LSO,Lesotho,USGS NHD,USGS,Vector hydrography,Open,2000,Present,Rolling,N/A
LSO,Lesotho,NPMS,PHMSA,Vector pipelines,Restricted,2002,Present,Annual/Rolling,N/A
LSO,Lesotho,LiDAR DEM 1m,National/Provincial/State programs,Raster DEM (1m),Open/Restricted,2000,Present,Project-based,Varies
LBR,Liberia,Sentinel-2 L2A,ESA via Microsoft Planetary Computer Earth Search,"Raster multispectral (13 bands, 10/20/60m)",Open,2015-06,Present,~5 days,Available
LBR,Liberia,ESA WorldCover 10m,ESA (AWS S3),Raster land cover (10m),Open,2020,2021,Annual,Available
LBR,Liberia,Copernicus DEM,Copernicus,Raster DEM (30m/90m),Registration,2020,Present,Irregular,Available
LBR,Liberia,Global Surface Water (GSW),JRC/Google,Raster water occurrence/seasonality,Open,1984,Present,Annual,Available
LBR,Liberia,OpenStreetMap,OpenStreetMap,Vector roads/railways/waterways/landuse/buildings,Open,2004,Present,Continuous,Available
LBR,Liberia,WDPA (Protected Planet),UNEP-WCMC & IUCN,Vector protected areas,Registration,2005,Present,Monthly,Available
LBR,Liberia,WorldPop/GHS-POP,WorldPop / JRC (GHS-POP),Raster population density,Open,2000,Present,1–5 years,Available
LBR,Liberia,FEMA NFHL,FEMA,Vector flood hazard zones,Open,2003,Present,Rolling,N/A
LBR,Liberia,USGS NHD,USGS,Vector hydrography,Open,2000,Present,Rolling,N/A
LBR,Liberia,NPMS,PHMSA,Vector pipelines,Restricted,2002,Present,Annual/Rolling,N/A
LBR,Liberia,LiDAR DEM 1m,National/Provincial/State programs,Raster DEM (1m),Open/Restricted,2000,Present,Project-based,Varies
LBY,Libya,Sentinel-2 L2A,ESA via Microsoft Planetary Computer Earth Search,"Raster multispectral (13 bands, 10/20/60m)",Open,2015-06,Present,~5 days,Available
LBY,Libya,ESA WorldCover 10m,ESA (AWS S3),Raster land cover (10m),Open,2020,2021,Annual,Available
LBY,Libya,Copernicus DEM,Copernicus,Raster DEM (30m/90m),Registration,2020,Present,Irregular,Available
LBY,Libya,Global Surface Water (GSW),JRC/Google,Raster water occurrence/seasonality,Open,1984,Present,Annual,Available
LBY,Libya,OpenStreetMap,OpenStreetMap,Vector roads/railways/waterways/landuse/buildings,Open,2004,Present,Continuous,Available
LBY,Libya,WDPA (Protected Planet),UNEP-WCMC & IUCN,Vector protected areas,Registration,2005,Present,Monthly,Available
LBY,Libya,WorldPop/GHS-POP,WorldPop / JRC (GHS-POP),Raster population density,Open,2000,Present,1–5 years,Available
LBY,Libya,FEMA NFHL,FEMA,Vector flood hazard zones,Open,2003,Present,Rolling,N/A
LBY,Libya,USGS NHD,USGS,Vector hydrography,Open,2000,Present,Rolling,N/A
LBY,Libya,NPMS,PHMSA,Vector pipelines,Restricted,2002,Present,Annual/Rolling,N/A
LBY,Libya,LiDAR DEM 1m,National/Provincial/State programs,Raster DEM (1m),Open/Restricted,2000,Present,Project-based,Varies
LIE,Liechtenstein,Sentinel-2 L2A,ESA via Microsoft Planetary Computer Earth Search,"Raster multispectral (13 bands, 10/20/60m)",Open,2015-06,Present,~5 days,Available
LIE,Liechtenstein,ESA WorldCover 10m,ESA (AWS S3),Raster land cover (10m),Open,2020,2021,Annual,Available
LIE,Liechtenstein,Copernicus DEM,Copernicus,Raster DEM (30m/90m),Registration,2020,Present,Irregular,Available
LIE,Liechtenstein,Global Surface Water (GSW),JRC/Google,Raster water occurrence/seasonality,Open,1984,Present,Annual,Available
LIE,Liechtenstein,OpenStreetMap,OpenStreetMap,Vector roads/railways/waterways/landuse/buildings,Open,2004,Present,Continuous,Available
LIE,Liechtenstein,WDPA (Protected Planet),UNEP-WCMC & IUCN,Vector protected areas,Registration,2005,Present,Monthly,Available
LIE,Liechtenstein,WorldPop/GHS-POP,WorldPop / JRC (GHS-POP),Raster population density,Open,2000,Present,1–5 years,Available
LIE,Liechtenstein,FEMA NFHL,FEMA,Vector flood hazard zones,Open,2003,Present,Rolling,N/A
LIE,Liechtenstein,USGS NHD,USGS,Vector hydrography,Open,2000,Present,Rolling,N/A
LIE,Liechtenstein,NPMS,PHMSA,Vector pipelines,Restricted,2002,Present,Annual/Rolling,N/A
LIE,Liechtenstein,LiDAR DEM 1m,National/Provincial/State programs,Raster DEM (1m),Open/Restricted,2000,Present,Project-based,Varies
LTU,Lithuania,Sentinel-2 L2A,ESA via Microsoft Planetary Computer Earth Search,"Raster multispectral (13 bands, 10/20/60m)",Open,2015-06,Present,~5 days,Available
LTU,Lithuania,ESA WorldCover 10m,ESA (AWS S3),Raster land cover (10m),Open,2020,2021,Annual,Available
LTU,Lithuania,Copernicus DEM,Copernicus,Raster DEM (30m/90m),Registration,2020,Present,Irregular,Available
LTU,Lithuania,Global Surface Water (GSW),JRC/Google,Raster water occurrence/seasonality,Open,1984,Present,Annual,Available
LTU,Lithuania,OpenStreetMap,OpenStreetMap,Vector roads/railways/waterways/landuse/buildings,Open,2004,Present,Continuous,Available
LTU,Lithuania,WDPA (Protected Planet),UNEP-WCMC & IUCN,Vector protected areas,Registration,2005,Present,Monthly,Available
LTU,Lithuania,WorldPop/GHS-POP,WorldPop / JRC (GHS-POP),Raster population density,Open,2000,Present,1–5 years,Available
LTU,Lithuania,FEMA NFHL,FEMA,Vector flood hazard zones,Open,2003,Present,Rolling,N/A
LTU,Lithuania,USGS NHD,USGS,Vector hydrography,Open,2000,Present,Rolling,N/A
LTU,Lithuania,NPMS,PHMSA,Vector pipelines,Restricted,2002,Present,Annual/Rolling,N/A
LTU,Lithuania,LiDAR DEM 1m,National/Provincial/State programs,Raster DEM (1m),Open/Restricted,2000,Present,Project-based,Varies
LUX,Luxembourg,Sentinel-2 L2A,ESA via Microsoft Planetary Computer Earth Search,"Raster multispectral (13 bands, 10/20/60m)",Open,2015-06,Present,~5 days,Available
LUX,Luxembourg,ESA WorldCover 10m,ESA (AWS S3),Raster land cover (10m),Open,2020,2021,Annual,Available
LUX,Luxembourg,Copernicus DEM,Copernicus,Raster DEM (30m/90m),Registration,2020,Present,Irregular,Available
LUX,Luxembourg,Global Surface Water (GSW),JRC/Google,Raster water occurrence/seasonality,Open,1984,Present,Annual,Available
LUX,Luxembourg,OpenStreetMap,OpenStreetMap,Vector roads/railways/waterways/landuse/buildings,Open,2004,Present,Continuous,Available
LUX,Luxembourg,WDPA (Protected Planet),UNEP-WCMC & IUCN,Vector protected areas,Registration,2005,Present,Monthly,Available
LUX,Luxembourg,WorldPop/GHS-POP,WorldPop / JRC (GHS-POP),Raster population density,Open,2000,Present,1–5 years,Available
LUX,Luxembourg,FEMA NFHL,FEMA,Vector flood hazard zones,Open,2003,Present,Rolling,N/A
LUX,Luxembourg,USGS NHD,USGS,Vector hydrography,Open,2000,Present,Rolling,N/A
LUX,Luxembourg,NPMS,PHMSA,Vector pipelines,Restricted,2002,Present,Annual/Rolling,N/A
LUX,Luxembourg,LiDAR DEM 1m,National/Provincial/State programs,Raster DEM (1m),Open/Restricted,2000,Present,Project-based,Varies
MAC,Macao,Sentinel-2 L2A,ESA via Microsoft Planetary Computer Earth Search,"Raster multispectral (13 bands, 10/20/60m)",Open,2015-06,Present,~5 days,Available
MAC,Macao,ESA WorldCover 10m,ESA (AWS S3),Raster land cover (10m),Open,2020,2021,Annual,Available
MAC,Macao,Copernicus DEM,Copernicus,Raster DEM (30m/90m),Registration,2020,Present,Irregular,Available
MAC,Macao,Global Surface Water (GSW),JRC/Google,Raster water occurrence/seasonality,Open,1984,Present,Annual,Available
MAC,Macao,OpenStreetMap,OpenStreetMap,Vector roads/railways/waterways/landuse/buildings,Open,2004,Present,Continuous,Available
MAC,Macao,WDPA (Protected Planet),UNEP-WCMC & IUCN,Vector protected areas,Registration,2005,Present,Monthly,Available
MAC,Macao,WorldPop/GHS-POP,WorldPop / JRC (GHS-POP),Raster population density,Open,2000,Present,1–5 years,Available
MAC,Macao,FEMA NFHL,FEMA,Vector flood hazard zones,Open,2003,Present,Rolling,N/A
MAC,Macao,USGS NHD,USGS,Vector hydrography,Open,2000,Present,Rolling,N/A
MAC,Macao,NPMS,PHMSA,Vector pipelines,Restricted,2002,Present,Annual/Rolling,N/A
MAC,Macao,LiDAR DEM 1m,National/Provincial/State programs,Raster DEM (1m),Open/Restricted,2000,Present,Project-based,Varies
MDG,Madagascar,Sentinel-2 L2A,ESA via Microsoft Planetary Computer Earth Search,"Raster multispectral (13 bands, 10/20/60m)",Open,2015-06,Present,~5 days,Available
MDG,Madagascar,ESA WorldCover 10m,ESA (AWS S3),Raster land cover (10m),Open,2020,2021,Annual,Available
MDG,Madagascar,Copernicus DEM,Copernicus,Raster DEM (30m/90m),Registration,2020,Present,Irregular,Available
MDG,Madagascar,Global Surface Water (GSW),JRC/Google,Raster water occurrence/seasonality,Open,1984,Present,Annual,Available
MDG,Madagascar,OpenStreetMap,OpenStreetMap,Vector roads/railways/waterways/landuse/buildings,Open,2004,Present,Continuous,Available
MDG,Madagascar,WDPA (Protected Planet),UNEP-WCMC & IUCN,Vector protected areas,Registration,2005,Present,Monthly,Available
MDG,Madagascar,WorldPop/GHS-POP,WorldPop / JRC (GHS-POP),Raster population density,Open,2000,Present,1–5 years,Available
MDG,Madagascar,FEMA NFHL,FEMA,Vector flood hazard zones,Open,2003,Present,Rolling,N/A
MDG,Madagascar,USGS NHD,USGS,Vector hydrography,Open,2000,Present,Rolling,N/A
MDG,Madagascar,NPMS,PHMSA,Vector pipelines,Restricted,2002,Present,Annual/Rolling,N/A
MDG,Madagascar,LiDAR DEM 1m,National/Provincial/State programs,Raster DEM (1m),Open/Restricted,2000,Present,Project-based,Varies
MWI,Malawi,Sentinel-2 L2A,ESA via Microsoft Planetary Computer Earth Search,"Raster multispectral (13 bands, 10/20/60m)",Open,2015-06,Present,~5 days,Available
MWI,Malawi,ESA WorldCover 10m,ESA (AWS S3),Raster land cover (10m),Open,2020,2021,Annual,Available
MWI,Malawi,Copernicus DEM,Copernicus,Raster DEM (30m/90m),Registration,2020,Present,Irregular,Available
MWI,Malawi,Global Surface Water (GSW),JRC/Google,Raster water occurrence/seasonality,Open,1984,Present,Annual,Available
MWI,Malawi,OpenStreetMap,OpenStreetMap,Vector roads/railways/waterways/landuse/buildings,Open,2004,Present,Continuous,Available
MWI,Malawi,WDPA (Protected Planet),UNEP-WCMC & IUCN,Vector protected areas,Registration,2005,Present,Monthly,Available
MWI,Malawi,WorldPop/GHS-POP,WorldPop / JRC (GHS-POP),Raster population density,Open,2000,Present,1–5 years,Available
MWI,Malawi,FEMA NFHL,FEMA,Vector flood hazard zones,Open,2003,Present,Rolling,N/A
MWI,Malawi,USGS NHD,USGS,Vector hydrography,Open,2000,Present,Rolling,N/A
MWI,Malawi,NPMS,PHMSA,Vector pipelines,Restricted,2002,Present,Annual/Rolling,N/A
MWI,Malawi,LiDAR DEM 1m,National/Provincial/State programs,Raster DEM (1m),Open/Restricted,2000,Present,Project-based,Varies
MYS,Malaysia,Sentinel-2 L2A,ESA via Microsoft Planetary Computer Earth Search,"Raster multispectral (13 bands, 10/20/60m)",Open,2015-06,Present,~5 days,Available
MYS,Malaysia,ESA WorldCover 10m,ESA (AWS S3),Raster land cover (10m),Open,2020,2021,Annual,Available
MYS,Malaysia,Copernicus DEM,Copernicus,Raster DEM (30m/90m),Registration,2020,Present,Irregular,Available
MYS,Malaysia,Global Surface Water (GSW),JRC/Google,Raster water occurrence/seasonality,Open,1984,Present,Annual,Available
MYS,Malaysia,OpenStreetMap,OpenStreetMap,Vector roads/railways/waterways/landuse/buildings,Open,2004,Present,Continuous,Available
MYS,Malaysia,WDPA (Protected Planet),UNEP-WCMC & IUCN,Vector protected areas,Registration,2005,Present,Monthly,Available
MYS,Malaysia,WorldPop/GHS-POP,WorldPop / JRC (GHS-POP),Raster population density,Open,2000,Present,1–5 years,Available
MYS,Malaysia,FEMA NFHL,FEMA,Vector flood hazard zones,Open,2003,Present,Rolling,N/A
MYS,Malaysia,USGS NHD,USGS,Vector hydrography,Open,2000,Present,Rolling,N/A
MYS,Malaysia,NPMS,PHMSA,Vector pipelines,Restricted,2002,Present,Annual/Rolling,N/A
MYS,Malaysia,LiDAR DEM 1m,National/Provincial/State programs,Raster DEM (1m),Open/Restricted,2000,Present,Project-based,Varies
MDV,Maldives,Sentinel-2 L2A,ESA via Microsoft Planetary Computer Earth Search,"Raster multispectral (13 bands, 10/20/60m)",Open,2015-06,Present,~5 days,Available
MDV,Maldives,ESA WorldCover 10m,ESA (AWS S3),Raster land cover (10m),Open,2020,2021,Annual,Available
MDV,Maldives,Copernicus DEM,Copernicus,Raster DEM (30m/90m),Registration,2020,Present,Irregular,Available
MDV,Maldives,Global Surface Water (GSW),JRC/Google,Raster water occurrence/seasonality,Open,1984,Present,Annual,Available
MDV,Maldives,OpenStreetMap,OpenStreetMap,Vector roads/railways/waterways/landuse/buildings,Open,2004,Present,Continuous,Available
MDV,Maldives,WDPA (Protected Planet),UNEP-WCMC & IUCN,Vector protected areas,Registration,2005,Present,Monthly,Available
MDV,Maldives,WorldPop/GHS-POP,WorldPop / JRC (GHS-POP),Raster population density,Open,2000,Present,1–5 years,Available
MDV,Maldives,FEMA NFHL,FEMA,Vector flood hazard zones,Open,2003,Present,Rolling,N/A
MDV,Maldives,USGS NHD,USGS,Vector hydrography,Open,2000,Present,Rolling,N/A
MDV,Maldives,NPMS,PHMSA,Vector pipelines,Restricted,2002,Present,Annual/Rolling,N/A
MDV,Maldives,LiDAR DEM 1m,National/Provincial/State programs,Raster DEM (1m),Open/Restricted,2000,Present,Project-based,Varies
MLI,Mali,Sentinel-2 L2A,ESA via Microsoft Planetary Computer Earth Search,"Raster multispectral (13 bands, 10/20/60m)",Open,2015-06,Present,~5 days,Available
MLI,Mali,ESA WorldCover 10m,ESA (AWS S3),Raster land cover (10m),Open,2020,2021,Annual,Available
MLI,Mali,Copernicus DEM,Copernicus,Raster DEM (30m/90m),Registration,2020,Present,Irregular,Available
MLI,Mali,Global Surface Water (GSW),JRC/Google,Raster water occurrence/seasonality,Open,1984,Present,Annual,Available
MLI,Mali,OpenStreetMap,OpenStreetMap,Vector roads/railways/waterways/landuse/buildings,Open,2004,Present,Continuous,Available
MLI,Mali,WDPA (Protected Planet),UNEP-WCMC & IUCN,Vector protected areas,Registration,2005,Present,Monthly,Available
MLI,Mali,WorldPop/GHS-POP,WorldPop / JRC (GHS-POP),Raster population density,Open,2000,Present,1–5 years,Available
MLI,Mali,FEMA NFHL,FEMA,Vector flood hazard zones,Open,2003,Present,Rolling,N/A
MLI,Mali,USGS NHD,USGS,Vector hydrography,Open,2000,Present,Rolling,N/A
MLI,Mali,NPMS,PHMSA,Vector pipelines,Restricted,2002,Present,Annual/Rolling,N/A
MLI,Mali,LiDAR DEM 1m,National/Provincial/State programs,Raster DEM (1m),Open/Restricted,2000,Present,Project-based,Varies
MLT,Malta,Sentinel-2 L2A,ESA via Microsoft Planetary Computer Earth Search,"Raster multispectral (13 bands, 10/20/60m)",Open,2015-06,Present,~5 days,Available
MLT,Malta,ESA WorldCover 10m,ESA (AWS S3),Raster land cover (10m),Open,2020,2021,Annual,Available
MLT,Malta,Copernicus DEM,Copernicus,Raster DEM (30m/90m),Registration,2020,Present,Irregular,Available
MLT,Malta,Global Surface Water (GSW),JRC/Google,Raster water occurrence/seasonality,Open,1984,Present,Annual,Available
MLT,Malta,OpenStreetMap,OpenStreetMap,Vector roads/railways/waterways/landuse/buildings,Open,2004,Present,Continuous,Available
MLT,Malta,WDPA (Protected Planet),UNEP-WCMC & IUCN,Vector protected areas,Registration,2005,Present,Monthly,Available
MLT,Malta,WorldPop/GHS-POP,WorldPop / JRC (GHS-POP),Raster population density,Open,2000,Present,1–5 years,Available
MLT,Malta,FEMA NFHL,FEMA,Vector flood hazard zones,Open,2003,Present,Rolling,N/A
MLT,Malta,USGS NHD,USGS,Vector hydrography,Open,2000,Present,Rolling,N/A
MLT,Malta,NPMS,PHMSA,Vector pipelines,Restricted,2002,Present,Annual/Rolling,N/A
MLT,Malta,LiDAR DEM 1m,National/Provincial/State programs,Raster DEM (1m),Open/Restricted,2000,Present,Project-based,Varies
